time (min),response
2.12,0.005168116463324755
2.13,0.005751630330078418
2.14,0.006386051647024772
2.15,0.007073887792987028
2.16,0.007817532956692368
2.17,0.008619233975662607
2.18,0.009481054514634477
2.19,0.010404837935067513
2.2,0.011392169262997506
2.21,0.012444336715558689
2.22,0.013562293295539237
2.23,0.014746619006918019
2.24,0.01599748428104667
2.25,0.01731461523160873
2.26,0.018697261375432542
2.27,0.020144166464489414
2.28,0.021653543070995016
2.29,0.023223051551664937
2.3,0.024849783988318355
2.31,0.026530253659923047
2.32,0.028260390545857574
2.33,0.030035543292006917
2.34,0.031850487990976
2.35,0.03369944403623827
2.36,0.03557609720875453
2.37,0.03747363004516827
2.38,0.03938475942100776
2.39,0.041301781162588244
2.4,0.04321662137984795
2.41,0.045120894091689484
2.42,0.04700596459809698
2.43,0.04886301794198384
2.44,0.05068313170092299
2.45,0.052457352257086406
2.46,0.054176773615096596
2.47,0.055832617774103054
2.48,0.057416315613913055
2.49,0.05891958722679418
2.5,0.0603345206175432
2.51,0.061653647705111184
2.52,0.06287001658952189
2.53,0.06397725909763158
2.54,0.06496965268957387
2.55,0.06584217589321639
2.56,0.06659055653491693
2.57,0.06721131214920531
2.58,0.06770178207536233
2.59,0.06806015088252808
2.6,0.06828546290413734
2.61,0.06837762780416075
2.62,0.06833741723884641
2.63,0.06816645281542831
2.64,0.06786718568074883
2.65,0.06744286819525352
2.66,0.06689751825893456
2.67,0.06623587695339793
2.68,0.06546336024653869
2.69,0.06458600557195104
2.7,0.06361041414320512
2.71,0.06254368989297128
2.72,0.06139337593855927
2.73,0.060167389469111446
2.74,0.058873955926179354
2.75,0.05752154330985964
2.76,0.05611879738852424
2.77,0.054674478523231644
2.78,0.05319740074015086
2.79,0.05169637359797924
2.8,0.05018014730472206
2.81,0.04865736144172477
2.82,0.047136497554936985
2.83,0.04562583577639408
2.84,0.044133415545114796
2.85,0.04266700040812699
2.86,0.041234046801089094
2.87,0.03984167663563293
2.88,0.03849665345854865
2.89,0.03720536189736541
2.9,0.03597379006857776
2.91,0.03480751459919744
2.92,0.03371168789964799
2.93,0.03269102732609158
2.94,0.03174980588262471
2.95,0.03089184413762424
2.96,0.030120503062843723
2.97,0.02943867754736282
2.98,0.028848790389701177
2.99,0.028352786628650838
3.0,0.027952128134872252
3.01,0.02764778844914266
3.02,0.02744024791741554
3.03,0.027329489235603525
3.04,0.02731499357634551
3.05,0.027395737524152308
3.06,0.027570191092567916
3.07,0.027836317135828008
3.08,0.028191572496643592
3.09,0.028632911250124165
3.1,0.029156790410690334
3.11,0.029759178463604333
3.12,0.030435567065273582
3.13,0.031180986226871925
3.14,0.03199002325451131
3.15,0.032856845666923304
3.16,0.033775228249420114
3.17,0.034738584332108496
3.18,0.03574000130249516
3.19,0.03677228027951657
3.2,0.03782797978959708
3.21,0.03889946319764847
3.22,0.03997894955911327
3.23,0.041058567475371996
3.24,0.042130411456208626
3.25,0.0431866002215742
3.26,0.044219336312496575
3.27,0.04522096632932959
3.28,0.04618404107606804
3.29,0.047101374863331866
3.3,0.047966103210691946
3.31,0.048771738191783924
3.32,0.049512220683284924
3.33,0.05018196881111795
3.34,0.05077592193363108
3.35,0.051289579561092535
3.36,0.05171903468241735
3.37,0.05206100105211226
3.38,0.05231283408124356
3.39,0.052472545073853565
3.4,0.052538808652592354
3.41,0.0525109633222056
3.42,0.052389005224712834
3.43,0.05217357524342474
3.44,0.05186593971226927
3.45,0.05146796508022805
3.46,0.05098208696622159
3.47,0.05041127411592413
3.48,0.049758987837399356
3.49,0.04902913754606526
3.5,0.04822603309055873
3.51,0.04735433455912238
3.52,0.04641900028103826
3.53,0.04542523373953651
3.54,0.04437843010195972
3.55,0.04328412305047396
3.56,0.04214793256322076
3.57,0.040975514252655484
3.58,0.03977251081620918
3.59,0.038544506095789424
3.6,0.03729698217849599
3.61,0.036035279902837954
3.62,0.03476456306423738
3.63,0.033489786542219555
3.64,0.03221566850085062
3.65,0.030946666745041797
3.66,0.029686959249495166
3.67,0.02844042881539232
3.68,0.027210651753310278
3.69,0.026000890440024706
3.7,0.02481408955236047
3.71,0.023652875743454427
3.72,0.022519560495885126
3.73,0.021416145862143552
3.74,0.020344332785733752
3.75,0.019305531685561268
3.76,0.018300874981804806
3.77,0.017331231242715347
3.78,0.016397220638189186
3.79,0.015499231396917008
3.8,0.014637436978779023
3.81,0.013811813692266887
3.82,0.013022158507414625
3.83,0.012268106837351762
3.84,0.0115491500855431
3.85,0.010864652780458482
3.86,0.010213869144298856
3.87,0.009595958967005951
3.88,0.009010002680692903
3.89,0.008455015552490655
3.9,0.0079299609353272
3.91,0.00743376253611024
3.92,0.006965315679008817
3.93,0.006523497557910904
3.94,0.00610717648662152
3.95,0.005715220167944684
3.96,0.005346503013500974
3.97,0.004999912555033166
3.98,0.004674354995148239
3.99,0.004368759951051491
4.0,0.004082084448990899
4.01,0.0038133162299946954
4.02,0.0035614764292148365
4.03,0.0033256216919428337
4.04,0.0031048457893055733
4.05,0.0028982807959328787
4.06,0.0027050978906675367
4.07,0.002524507839800932
4.08,0.0023557612204957346
4.09,0.002198148440116156
4.1,0.002050999605231991
4.11,0.0019136842921820604
4.12,0.0017856112693518456
4.13,0.0016662282197965027
4.14,0.0015550215115683573
4.15,0.0014515160621130965
4.16,0.00135527534239396
4.17,0.0012659015659813812
4.18,0.0011830361081865456
4.19,0.0011063602003813142
4.2,0.0010355959448798675
4.21,0.0009705076960860137
4.22,0.0009109038539457487
4.23,0.0008566391159799945
4.24,0.000807617234185204
4.25,0.0007637943227392835
4.26,0.0007251827615830301
4.27,0.0006918557393931833
4.28,0.0006639524770419332
4.29,0.0006416841691580316
4.3,0.0006253406766694162
4.31,0.0006152979970168956
4.32,0.0006120265308853895
4.33,0.0006161001546144342
4.34,0.0006282060957484654
4.35,0.000649155595317341
4.36,0.0006798953242764146
